project_title,short_description,long_description,Crisis finance determination,Crisis finance confidence ML
Office of Weapons Removal and Abatement - 18.PMWRA.Angola.WAD.PSSM.HALO,OFFICE OF WEAPONS REMOVAL AND ABATEMENT - 18.PMWRA.ANGOLA.WAD.PSSM.HALO,"U.S. Department of State: Office of Weapons Removal and Abatement. Awarding $926,000 in FY17/18 NADR-CWD Angola bilat funds. POP 12 months. No pre-award costs. Incremental funding. See below for Terms and Conditions.",Yes,0.99233466386795
Public International Organization Grant for Emergency Food Security Program (EFSP) in Somalia,PUBLIC INTERNATIONAL ORGANIZATION GRANT FOR EMERGENCY FOOD SECURITY PROGRAM (EFSP) IN SOMALIA,Public International Organization Grant for Emergency Food Security Program (EFSP) in Somalia,Yes,0.992328107357025
Women for Health - Procurement of Goods,WOMEN FOR HEALTH - PROCUREMENT OF GOODS,"To improve the number and capacity of female health workers in six states in Northern Nigeria (Kano, Katsina, Jigawa, Zamfara, Yobe and Borno) while at the same time contributing to women's empowerment and gender equality in communities and institutions in the North. In the extension phase between April 2018 and October 2020, the programme is focusing on a building back better approach in the conflict and humanitarian areas in Yobe and Borno states and ensuring sustainability of the progress achieved over the last five years in Katsina, Kano, Jigawa and Zamfara. The extension is also facilitating institutionalisation of commitment by Federal agencies.",Yes,0.992308378219604
Humanitarian Protection and Livelih[Awards-  Cooperative Agreements],HUMANITARIAN PROTECTION AND LIVELIH[AWARDS-  COOPERATIVE AGREEMENTS],"To improve the protective environment, enhance livelihoods and promote increased resilience and well-being for vulnerable refugees and host community members in Jordan.",Yes,0.992291510105133
WFP - Support for WFP humanitarian action in Myanmar,WFP - SUPPORT FOR WFP HUMANITARIAN ACTION IN MYANMAR,"Support World Food Programme (WFP) to provide food, cash and nutrition assistance to people in urban and rural areas of Myanmar, including emergency assistance to internally displaced people (IDPs) and other vulnerable populations in active conflict zones.",Yes,0.99227249622345
Humanitarian response to the needs of protection for migrant children and adolescents in the frontier of Mexico,HUMANITARIAN RESPONSE TO THE NEEDS OF PROTECTION FOR MIGRANT CHILDREN AND ADOLESCENTS IN THE FRONTIER OF MEXICO,"Este proyecto pretende responder a las necesidades mÃ¡s urgentes e inmediatas de protecciÃ³n infantil para niÃ±as, niÃ±os y adolescentes migrantes, con el objetivo de atender las necesidades mentales y psicosociales (MPSS), responder a casos de violencia, de salud sexual y reproductiva (SSR) asÃ­ como facilitar un acceso a actividades educativas en dos albergues de Tijuana (Frontera Norte de MÃ©xico), asi como el fortalecimiento de capacidades de los servicios de protecciÃ³n a migrantes.",Yes,0.992259204387665
Integrated Emergency Assistance,INTEGRATED EMERGENCY ASSISTANCE,"Integrated emergency health, nutrition, water, sanitation, and hygiene services for conflict affected populations in Sudan.",Yes,0.992224812507629
PRM Research Specialist (Tech Advisor) TORP 009[Other Contractual Services NOC],PRM RESEARCH SPECIALIST (TECH ADVISOR) TORP 009[OTHER CONTRACTUAL SERVICES NOC],[Covers miscellaneous contractual services not otherwise classified.],Yes,0.992212474346161
"Improvement of the life conditions, the state of health & promotion of social integration of the most vulnerable migrant people in the Eastern Region","IMPROVEMENT OF THE LIFE CONDITIONS, THE STATE OF HEALTH & PROMOTION OF SOCIAL INTEGRATION OF THE MOST VULNERABLE MIGRANT PEOPLE IN THE EASTERN REGION","La situaciÃ³n de crisis humanitaria y precariedad en la que viven las personas migrantesen la RegiÃ³n Oriental de Marruecos se ha visto agravada debido a la pandemia porCovid-19 y a las restricciones de movilidad derivadas de la misma. Por ello, este proyectohace especial incidencia en la protecciÃ³n y defensa del derecho de la poblaciÃ³n entrÃ¡nsito a la atenciÃ³n sanitaria en las estructuras de salud pÃºblicas marroquÃ­es, ypretende tambiÃ©n reforzar sus capacidades y reducir su vulnerabilidad proporcionando laasistencia psicosocial y ayuda humanitaria que necesitan y ofreciendo nuevasoportunidades de educaciÃ³n y formaciÃ³n a distintos niveles.",Yes,0.992200314998627
Multi-sector humanitarian assistance,MULTI-SECTOR HUMANITARIAN ASSISTANCE,"Multi-sector humanitarian assistance: Shelter, ERMS and Agriculture and Food Security Support for IDPs",Yes,0.992192685604095
United Nations Office for the Coordination of Humanitarian Affairs (OCHA) â Humanitarian Response to Northern Ethiopia,UNITED NATIONS OFFICE FOR THE COORDINATION OF HUMANITARIAN AFFAIRS (OCHA) â HUMANITARIAN RESPONSE TO NORTHERN ETHIOPIA,"Contribution to the United Nations Office for the Coordination of Humanitarian Affairs (OCHA) to support the humanitarian response in northern Ethiopia.In this region there is a humanitarian crisis resulting from an armed conflict, with thousands of peop",Yes,0.992180943489075
Oxfam GB - Humanitarian Support 2018-2021 - Ãterbetalning Oxfam 2021,OXFAM GB - HUMANITARIAN SUPPORT 2018-2021 - ÃTERBETALNING OXFAM 2021,"In 2018-2021, Oxfam GB plans to reach over 280,000 people in Algeria, the Central African Republic, the Democratic Republic of Congo, Iraq and Chad. The contribution will consist of four components focusing on emergency life-saving activities, multi-year resilience building projects, the possibility to respond to sudden onset or deteriorating humanitarian emergencies during the year through the Rapid Response Mechanism, as well as support to method development of cash-based programming.In the Democratic Republic of the Congo, Oxfam will provide support to an INGO forum with 100 NGO members with the aim of increasing the effectiveness of humanitarian interventions through improved coordination. In Iraq, Sida will support a project focusing on first line emergency response. The projects will target 9,600 people and include activities of food distribution as well as distribution of non-food items and hygiene materials.Five 3-year projects are proposed to be funded with a total of 28 MSEK for 2018, 19 MSEK for 2019 and 16 MSEK for 2019 with the following breakdown:In Algeria, 126 600 Sahrawi refugees will be supported in a project focusing on improving dietary diversity and strengthening of small-scale agriculture with the aim of increasing food security in the refugee camps. To reach the planned goals of the project, Oxfam will distribute fresh vegetables and flour, conduct trainings and awareness sessions on agricultural production and introduce drought-resistant crops.In the Central African Republic, Oxfam will target 17,500 people with food, protection and WASH activities, together with resilience building through recovery of productive assets and strengthening of communities' conflict management capabilities. The proposed activities include distribution of agricultural kits, awareness-raising on food diversification, protection and gender themes as well as strengthening of community protection committees.The project in Chad will target 49,087 people in a project aiming to improve access to basic social services, protection, and the restoration of livelihoods. The project activities include borehole drilling, trainings of water management committees, latrine construction and hygiene promotion. The project will also highlight issues of protection and gender-based violence through awareness raising, establishment of protection committees, mapping of care services for victims of abuses and violations and awareness raising sessions on protection issues.In Iraq, Sida will support a project focusing on capacity building of local humanitarian leadership with the aim of strengthening the local humanitarian response capacity. The projects will target local humanitarian actors as well as a number of local NGOs. Moreover, it is further proposed that Sida contributes with 25 million within the Rapid Response Mechanism, RRM, to enable Oxfam GB to respond to sudden onset or deteriorating humanitarian emergencies throughout the year.Moreover, in addition to fun",Yes,0.992168962955475
Pathways to Sustainable Food Security (NJIRA),PATHWAYS TO SUSTAINABLE FOOD SECURITY (NJIRA),"FFP partnered with a USAID Implementing Partner through the Njira Development Food Security Activity to improve food security among 63,400 vulnerable households in southern Malawi. The Implementing Partner focused on bolstering market-oriented agricultural production, improving the health and nutrition of children younger than five years of age and pregnant and lactating women, strengthening community disaster preparedness and increasing the resilience of vulnerable households.",Yes,0.992140591144562
AHRC-DFID Collaborative Humanitarian Protection Research Programme â Thematic Research Grants,AHRC-DFID COLLABORATIVE HUMANITARIAN PROTECTION RESEARCH PROGRAMME â THEMATIC RESEARCH GRANTS,A collaborative Humanitarian Research Programme to help tackle the protection of people in areas of war and conflict. The grants under this initiative support a portfolio of research projects to better understand the causes of humanitarian protection risks/violations and to gather evidence about which interventions are most effective in improving humanitarian protection outcomes.,Yes,0.99213844537735
Humanitarian aid to supply emergency food to alleviate the situation of COVID-19 of families living in 8 bateyes of the south zone,HUMANITARIAN AID TO SUPPLY EMERGENCY FOOD TO ALLEVIATE THE SITUATION OF COVID-19 OF FAMILIES LIVING IN 8 BATEYES OF THE SOUTH ZONE,"TÃ­tulo completo del proyecto: Ayuda humanitaria para alimentos de emergencia para paliar la situaciÃ³n del COVID 19, que padecen las familias que viven en 8  bateyes de la zona sur de la RepÃºblica Dominicana. :: Entregar a las familias que viven en 8  bateyes (10.899 personas) de la zona sur de la RepÃºblica Dominicana una canasta bÃ¡sica de alimentos para paliar la situaciÃ³n del covid-19 para al menos 90 dÃ­as.",Yes,0.992137968540192
Multi-sectoral humanitarian assistance,MULTI-SECTORAL HUMANITARIAN ASSISTANCE,"WASH, risk management, nutrition, agriculture, and food security assistance in Kenya",Yes,0.992126226425171
ATHA (Advanced Training Program on Humanitarian Action) 2018-2019 - ATHA Ã¥terbetalning,ATHA (ADVANCED TRAINING PROGRAM ON HUMANITARIAN ACTION) 2018-2019 - ATHA ÃTERBETALNING,"ATHA (Advanced Training Program on Humanitarian Action) is a program of research and learning focused activities within the Harvard Humanitarian Initiative (HHI) at Harvard University. The activities aim to strengthen the capacity of humanitarian actors to meet the challenges and dilemmas that exist in today's humanitarian context, which are generally characterised by armed conflict. Challenges addressed pertain specifically to the lack of humanitarian access, the difficulty in upholding the humanitarian principles and the continued breaches of international humanitarian law (IHL). These themes, among others, require advanced humanitarian response capacity, to which ATHA can contribute. ATHA's aim of strengthening the capacity of humanitarian actors is approached through a few complementary methods, ATHA's network of practitioners at field and HQ level, enabling dialogue and exchange between organisations, ATHA's research and analysis around themes that practitioners have raised as relevant for their humanitarian activities at field level, including the organisation of workshops for dialogue and learning, and finally courses and podcasts made available on the ATHA website.The budget consists primarily of personnel costs. Sida has financed ATHA since 2006, and in 2018 an evaluation will be undertaken, which will focus on effects and relevance of the ATHA activities.",Yes,0.992125570774078
[Awards-  Cooperative Agreements],[AWARDS-  COOPERATIVE AGREEMENTS],"GrantSolutions Interface[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99212521314621
[Awards-  Cooperative Agreements],[AWARDS-  COOPERATIVE AGREEMENTS],"GrantSolutions Interface[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99212521314621
[Awards-  Cooperative Agreements],[AWARDS-  COOPERATIVE AGREEMENTS],"GrantSolutions Interface[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99212521314621
[Awards-  Cooperative Agreements],[AWARDS-  COOPERATIVE AGREEMENTS],"GrantSolutions Interface[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99212521314621
[Awards-  Cooperative Agreements],[AWARDS-  COOPERATIVE AGREEMENTS],"GrantSolutions Interface[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99212521314621
[Awards-  Cooperative Agreements],[AWARDS-  COOPERATIVE AGREEMENTS],"GrantSolutions Interface[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99212521314621
[Awards-  Cooperative Agreements],[AWARDS-  COOPERATIVE AGREEMENTS],"GrantSolutions Interface[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99212521314621
[Awards-  Cooperative Agreements],[AWARDS-  COOPERATIVE AGREEMENTS],"GrantSolutions Interface[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99212521314621
[Awards-  Cooperative Agreements],[AWARDS-  COOPERATIVE AGREEMENTS],"GrantSolutions Interface[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99212521314621
[Awards-  Cooperative Agreements],[AWARDS-  COOPERATIVE AGREEMENTS],"GrantSolutions Interface[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99212521314621
[Awards-  Cooperative Agreements],[AWARDS-  COOPERATIVE AGREEMENTS],"GrantSolutions Interface[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99212521314621
[Awards-  Cooperative Agreements],[AWARDS-  COOPERATIVE AGREEMENTS],"GrantSolutions Interface[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99212521314621
[Awards-  Cooperative Agreements],[AWARDS-  COOPERATIVE AGREEMENTS],"GrantSolutions Interface[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.99212521314621
"Red Cross Denmark efforts in Rakhine, Myanmar 2018","RED CROSS DENMARK EFFORTS IN RAKHINE, MYANMAR 2018","Red Cross Denmark efforts in Rakhine, Myanmar 2018",Yes,0.992116749286652
South Sudan CHF 2015 SA2 Healt,SOUTH SUDAN CHF 2015 SA2 HEALT,CHF 2015 Standard Allocation 2 - South Sudan Common Humanitarian Fund 2015 RA4 for health  Emergency Support to Internally Displaced People (IDPs) and Host Communities,Yes,0.992114186286926
IMC   Gambella[Awards-  Cooperative Agreements],IMC   GAMBELLA[AWARDS-  COOPERATIVE AGREEMENTS],"Improve the gender-based violence, mental health, reproductive health and nutritional interventions for South Sudanese Refugees in Gambella Region.",Yes,0.99210125207901
IMC   Gambella[Awards-  Cooperative Agreements],IMC   GAMBELLA[AWARDS-  COOPERATIVE AGREEMENTS],"Improve the gender-based violence, mental health, reproductive health and nutritional interventions for South Sudanese Refugees in Gambella Region.",Yes,0.99210125207901
IMC   Gambella[Awards-  Cooperative Agreements],IMC   GAMBELLA[AWARDS-  COOPERATIVE AGREEMENTS],"Improve the gender-based violence, mental health, reproductive health and nutritional interventions for South Sudanese Refugees in Gambella Region.",Yes,0.99210125207901
Youth with Potential (Shabab Wa'ed/Americana),YOUTH WITH POTENTIAL (SHABAB WA'ED/AMERICANA),"The Youth with Potential Initiative focuses on the development of young people's preparedness for the demands of the employment market in the fields of food production and hospitality. The initiative aims to create opportunities for marginalized and disadvantaged youth. It includes a practical module that links the educational system of the hospitality stream at the vocational training institutes with a viable career path in accordance with the labor market needs of Americana restaurants. Selected youth participate in a six-month theoretical and practical training program, after which they may become full-time employees of Americana Jordan. Through this Global Development Alliance (GDA) mechanism, USAID will invest $4,402,386 over three years and the private sector partner Americana will match this amount with $4,924,306, with an aim of reaching 2,000 Jordanian youth.",Yes,0.992095410823822
MSB Disaster Risk Management,MSB DISASTER RISK MANAGEMENT,Swedish Civil Contingencies Agency (MSB) and the Sector for Emergency Management of the Ministry of Interior in Serbia have applied to Sida for funding of 13 040 000 SEK to carry out  Reduction Risk in Serbia Through Improved Emergency Management Coordination  project in Serbia during the period 1 February 2019 to 31 December 2020. The intervention aims at reducing risks at national and local level through improved emergency management coordination. MSB will implement the intervention together with Ministry of Interior of the Republic of Serbia. The intervention's total budget is 13 040 000 SEK and it shall be completely funded from Sida s contribution.,Yes,0.992056667804718
Emergency nutrition  child care pra[Awards-  Cooperative Agreements],EMERGENCY NUTRITION  CHILD CARE PRA[AWARDS-  COOPERATIVE AGREEMENTS],"Contribute to the reduction of the risk of morbidity, mortality amongst South Sudanese refugees and host community population in Gambella.",Yes,0.992040038108826
Emergency nutrition  child care pra[Awards-  Cooperative Agreements],EMERGENCY NUTRITION  CHILD CARE PRA[AWARDS-  COOPERATIVE AGREEMENTS],"Contribute to the reduction of the risk of morbidity, mortality amongst South Sudanese refugees and host community population in Gambella.",Yes,0.992040038108826
Njira Pathways to Sustainable Food Security CDF (Malawi),NJIRA PATHWAYS TO SUSTAINABLE FOOD SECURITY CDF (MALAWI),"FFP partnered with a USAID Implementing Partner through the Njira Development Food Security Activity to improve food security among 63,400 vulnerable households in southern Malawi. The Implementing Partner focused on bolstering market-oriented agricultural production, improving the health and nutrition of children younger than five years of age and pregnant and lactating women, strengthening community disaster preparedness and increasing the resilience of vulnerable households.",Yes,0.992031812667847
Integrated Response to the needs of[Awards-  Cooperative Agreements],INTEGRATED RESPONSE TO THE NEEDS OF[AWARDS-  COOPERATIVE AGREEMENTS],"Integrated Response to the needs of Syrian-Crisis Affected Populations (IRSCAP)[Covers awards where the principle purpose of the relationship is the transfer of money, property, services, or anything of value to the state, local government, or other recipient to accomplish a public purpose of support or stimulation authorized by the Federal statute.]",Yes,0.992020189762115
Multi-sectoral humanitarian assistance,MULTI-SECTORAL HUMANITARIAN ASSISTANCE,"To contribute to improved access to health, water, sanitation, hygiene, and household food security in conflict-affected areas of Sudan.",Yes,0.992010235786438
"NFIs, WASH, Shelter, and Humanitarian Coordination/Information Management for conflict affected populations in Iraq","NFIS, WASH, SHELTER, AND HUMANITARIAN COORDINATION/INFORMATION MANAGEMENT FOR CONFLICT AFFECTED POPULATIONS IN IRAQ","Distribution of non-food items to conflict affected populations.  Shelter support and water, sanitation and hygiene services for displaced populations in Iraq.  Humanitarian coordination and information management for humanitarian assistance organizations providing aid to conflict affected populations in Iraq.",Yes,0.992003381252289
Vaccine donation - bilateral,VACCINE DONATION - BILATERAL,Vaccine donation - bilateral - Vietnam,Yes,0.991982638835907
School campaign on good hygiene and hygiene practices food (Peripheral neighborhoods of the city of Bobo Dioulaso),SCHOOL CAMPAIGN ON GOOD HYGIENE AND HYGIENE PRACTICES FOOD (PERIPHERAL NEIGHBORHOODS OF THE CITY OF BOBO DIOULASO),"En el aÃ±o 2015 desembarcamos en la regiÃ³n de Hauts Bassins con un objetivo claro: acabar con la malnutriciÃ³n en la regiÃ³n. Comenzamos con los casos mÃ¡s urgentes, los niÃ±os y niÃ±as que yasufrÃ­an esta enfermedad. A travÃ©s de la estimulaciÃ³n psicomotriz y sensorial se obtuvieronexcelentes resultados en la recuperaciÃ³n de niÃ±os y niÃ±as malnutridas en el Centro deRecuperaciÃ³n Nutricional del Hospital Souro Sanou de Bobo Dioulasso, disminuyendo las tasasde mortalidad y de abandonos del programa nutricional y aumentando el peso medio ganado por los niÃ±os y niÃ±as ingresadas.Pero, Â¿CÃ³mo es posible que la regiÃ³n de Hauts Bassins, donde no faltan recursos nutricionales, se vea azotada por la malnutriciÃ³n?La falta de conocimientos sobre buenas prÃ¡cticas alimentarias se muestra como la principal causa de la situaciÃ³n de malnutriciÃ³n en la regiÃ³n convirtiÃ©ndola en una crisis recurrente. Para combatir esta situaciÃ³n se estÃ¡ llevando a cabo una campaÃ±a de sensibilizaciÃ³n desde el 2016 a la actualidad en la regiÃ³n con el fin de abastecer a su poblaciÃ³n de los conocimientos prÃ¡cticos oportunos y actitud necesaria para reducir y prevenir la incidencia de la malnutriciÃ³n. Esta campaÃ±a se desarrolla en toda la regiÃ³n, la poblaciÃ³n objetivo son madres con niÃ±os y niÃ±as de 0a 5 aÃ±os y las actividades asociadas a esta campaÃ±a, diseÃ±adas por todos los actores implicados, utilizan una herramienta tan original como efectiva: el lenguaje emocional.Con la presente intervenciÃ³n, hacemos una apuesta de futuro, pretendiendo ampliar el rango deacciÃ³n realizando una campaÃ±a de sensibilizaciÃ³n a travÃ©s de actividades participativas para losniÃ±os y niÃ±as de escuelas situadas en los distritos non loti (sin luz ni agua corriente), barriosperifÃ©ricos mÃ¡s deprimidos de la ciudad de Bobo Dioulasso, dejando, tras la intervenciÃ³n, una guÃ­a para que los docentes puedan continuar con esta labor. Las escuelas se presentan como el marco idÃ³neo donde los escolares pueden adquirir buenos hÃ¡bitos en alimentaciÃ³n e higiene para aplicarlos en la escuela y luego, en sus hogares junto a toda su familia. Los menores son uno de los colectivos mÃ¡s vulnerables de Burkina asÃ­ como los mayores vectores de propagaciÃ³n de informaciÃ³n y la esperanza de un futuro mejor.",Yes,0.991979479789734
"Multi-sectoral support for vulnerable households in Tillaberri and Diffa, Niger","MULTI-SECTORAL SUPPORT FOR VULNERABLE HOUSEHOLDS IN TILLABERRI AND DIFFA, NIGER","New award for programming in the following sectors: nutrition, water, sanitation and hygiene, agriculture and food security, economic recovery and market systems, logistics support and relief commodities, and protection of women, children and other vulnerable groups.",Yes,0.991966903209686
FOOD SECURITY SUPPORT OF VICTIMS OF CLASHES BETWEEN FARDC AND THE KAMWENA NSAPU MILITIA,FOOD SECURITY SUPPORT OF VICTIMS OF CLASHES BETWEEN FARDC AND THE KAMWENA NSAPU MILITIA,"El proyecto pretende hacer frente a la grave inseguridad alimentaria a la que se enfrenta la poblaciÃ³n de Luiza como consecuencia de los enfrentamientos entre las milicias Kamuina Nsapu y las fuerzas del Estado. Las familias no tienen acceso ni disponibilidad de alimentos para satisfacer sus necesidades alimenticias. El proyecto es una respuesta a la llamada que ha realizado OCHA y ONU para hacer frente a esta situaciÃ³n. La ONU ha activado el Nivel 3 de alerta.Atenderemos a 1000 familias vÃ­ctimas de esta crisis (6000 personas: 3120 mujeres y 2880 hombres) con especial atenciÃ³n a las personas mÃ¡s vulnerables: mujeres embarazadas, lactantes, niÃ±os/as, personas enfermas y de edad. La respuesta se basa en las necesidades alimentarias inmediatas de la poblaciÃ³n pero tambiÃ©n hemos tenido en cuenta el reinicio de las actividades agrÃ­colas como medio de subsistencia.Para lograr que esta respuesta sea apropiada y de calidad hemos maximizado la participaciÃ³n de las personas afectadas.",Yes,0.99196058511734
FFP emergency award in Brazil,FFP EMERGENCY AWARD IN BRAZIL,FFP emergency award in Brazil,Yes,0.991939961910248
Emergency Livelihood Response Programme in South Sudan (ELRP),EMERGENCY LIVELIHOOD RESPONSE PROGRAMME IN SOUTH SUDAN (ELRP),"FAO's quick intervention to provide time-critical livelihood support to 3.3 million crisis-affected, displaced and food - insecure people in South Sudan affected by the ongoing conflict. The programme is targeting vulnerable food insecure and displaced people, with a focus on those who have not been absorbed by host communities, and who have congregated in rural areas. Assistance will also be provided to host communities receiving the displaced.",Yes,0.991935133934021
Self resilience and empowerment[Awards-  Cooperative Agreements],SELF RESILIENCE AND EMPOWERMENT[AWARDS-  COOPERATIVE AGREEMENTS],"Self-resilience and empowerment through integrated CP, Gender Based Violence, MHPSS, Livelihoods Project in Ninewa, Dohuk, and Erbil Governorates",Yes,0.991934776306152
"AERMC - AmÃ©lioration de l'accÃ¨s eau potable, Ã©ducation Ã  l'hygiÃ¨ne et l'assainissement au sud du Laos (TerraCare)","AERMC - AMÃLIORATION DE L'ACCÃS EAU POTABLE, ÃDUCATION Ã L'HYGIÃNE ET L'ASSAINISSEMENT AU SUD DU LAOS (TERRACARE)","Ce projet vise Ã fFournir un accÃ¨s Ã  l'eau potable, Ã  l'Ã©ducation, Ã  l'hygiÃ¨ne et l'assainissement pour les familles les plus pauvres notamment dans les rÃ©gions montagneuses et rurales du sud du Laos (province d'Attapeu, de Champassak, de Sekong et de Salavan).Au Laos, en 2015, 22% seulement de la population laotienne avait un accÃ¨s Ã  un rÃ©seau d'eau potable et 53% Ã©tait sans rÃ©seau de distribution avec une part assez importante de la population pratiquant encore la dÃ©fecation Ã  l'air libre. Le 23 juillet 2018, la rupture d'un barrage dans le district de SanamsaÃ¯, province d'Attapeu, a causÃ© une catastrophe humanitaire qui a mobilisÃ© les Ã©quipes du Service Fraternel d'Entraide (SFE). L'association s'est portÃ©e au secours des camps de rÃ©fugiÃ©s les plus difficiles d'accÃ¨s (notamment les campsde Pindong et Tamoyot qui avaient Ã©tÃ© dÃ©clarÃ©s inaccessibles) en apportant une expÃ©rience de terrain pour y installer trÃ¨s rapidement les Ã©quipement les plus nÃ©cessaires, en particulier ceux liÃ©s Ã  l'alimentation en eau et Ã  l'assainissement.Principales activitÃ©s :1-AmÃ©lioration et augmentation pour l'entreprise Terra Clear Production (TCP) de ses capacitÃ©s de production des filtres cÃ©ramiques :- Acquisition des matÃ©riaux de construction pour la crÃ©ation d'un deuxiÃ¨me four Ã  cuire la cÃ©ramique- CrÃ©ation d'un deuxiÃ¨me bassin de tests d'infiltration des filtres- Acquisition d'une nouvelle presse2-Acquisition de matÃ©riels informatiques et de communication pour le suivi des activitÃ©s et la communication avec les villageois (appareil photo/vidÃ©os, tablettes, projecteur, smartphones pour l'Ã©quipe de terrain, ordinateur, petits matÃ©riels divers)3-Investissement en bons de rÃ©duction pour l'achat de filtre cÃ©ramiques au profit de 4000 familles pauvres4- Mise en place du projet et des supports de formation du projet- Formation des employÃ©s de TCP- DÃ©veloppement du plan de formation des familles bÃ©nÃ©ficiaires sur 6 mois sur les thÃ¨mes suivants : danger de la dÃ©fÃ©cation Ã  l'air libre et utilisation de latrines, consommation d'eau potable, hygiÃ¨en et lavage des mains. Un supplÃ©ment sur la sensibilisation et prÃ©vention de la COVID19 sera ajoutÃ© au module lavage des mains.- DÃ©veloppement du questionnaire pour l'enquÃªte de dÃ©but de projet et test des formation dans certains villages pilotes- Priorisation des villages de 4 provinces cibles et dÃ©finition du pan d'actionhttps://www.pseau.org/outils/actions/action_resultat.php?ac%5b%5d=3765&tout=1",Yes,0.991916477680206
Refugee Returns Research[Awards-  Cooperative Agreements],REFUGEE RETURNS RESEARCH[AWARDS-  COOPERATIVE AGREEMENTS],Research refugee returns in order to inform policymaking about helping the globe's displaced persons,Yes,0.991869688034058
Natural And Technological Risks (CBDRR),NATURAL AND TECHNOLOGICAL RISKS (CBDRR),"American Red Cross for Risk Management, Policy and Practice (CBDRR) in Vietnam.",Yes,0.991866886615753
"Capacity Building, Preparedness, and Planning","CAPACITY BUILDING, PREPAREDNESS, AND PLANNING","Improve the ability of the USG, host countries and other partners to prepare for and mitigate the effects of disasters, including both natural disasters and complex emergencies, taking into account the differences in men and womens freedom of movement and access to information. Activities under this component include any efforts to enhance the capacities of the USG (in Washington and in the field), humanitarian assistance providers, national host-country authorities, and local communities to engage in disaster reduction and response activities. Activities consist of standardized and coordinated assessments, monitoring, information sharing, data and situational analysis, joint planning, enhancement of coping mechanisms, including the capacity to address adaptation to constantly changing situations on the ground including climate variability and climate change.",Yes,0.991796731948853
"Capacity Building, Preparedness, and Planning","CAPACITY BUILDING, PREPAREDNESS, AND PLANNING","Improve the ability of the USG, host countries and other partners to prepare for and mitigate the effects of disasters, including both natural disasters and complex emergencies, taking into account the differences in men and womens freedom of movement and access to information. Activities under this component include any efforts to enhance the capacities of the USG (in Washington and in the field), humanitarian assistance providers, national host-country authorities, and local communities to engage in disaster reduction and response activities. Activities consist of standardized and coordinated assessments, monitoring, information sharing, data and situational analysis, joint planning, enhancement of coping mechanisms, including the capacity to address adaptation to constantly changing situations on the ground including climate variability and climate change.",Yes,0.991796731948853
"Capacity Building, Preparedness, and Planning","CAPACITY BUILDING, PREPAREDNESS, AND PLANNING","Improve the ability of the USG, host countries and other partners to prepare for and mitigate the effects of disasters, including both natural disasters and complex emergencies, taking into account the differences in men and womens freedom of movement and access to information. Activities under this component include any efforts to enhance the capacities of the USG (in Washington and in the field), humanitarian assistance providers, national host-country authorities, and local communities to engage in disaster reduction and response activities. Activities consist of standardized and coordinated assessments, monitoring, information sharing, data and situational analysis, joint planning, enhancement of coping mechanisms, including the capacity to address adaptation to constantly changing situations on the ground including climate variability and climate change.",Yes,0.991796731948853
