project_title,short_description,long_description,PAF determination,PAF confidence ML
Greater Mekong Subregion Sustainable Agriculture and Food Security Program,GREATER MEKONG SUBREGION SUSTAINABLE AGRICULTURE AND FOOD SECURITY PROGRAM,"The TA is aligned with the following impact: GMS as a leading supplier of safe and climate-friendly agri-food products realized. The TA will have the following outcome: investments and capacities for climate-friendly, safe and sustainable agri-food value chains increased.Output 1: Climate-friendly, inclusive and gender-conscious agri-food value chains and agribusinesses strengthened. This output will build capacities to implement climate-smart agriculture, pilot innovative technologies and mobilize financing for agribusinesses. Sub-output 1 on promoting green, inclusive and gender-conscious agri-food value chains will (i) identify policies and measures for promoting clean energy and reducing water consumption, food losses and waste in selected agri-food value chains while effectively integrating gender concerns, (ii) strengthen capacities of smallholders and agribusinesses along the value chain, including women farmers and entrepreneurs, on low carbon green supply chain management, agribusiness skills, value addition, and climate-smart agriculture technologies and practices through private-public partnerships, and (iii) conduct pilots on green supply chain management (e.g., nitrogen use efficiency and green water management) in selected agri-food value chains.Sub-output 2 on financing climate-smart agribusinesses will (i) propose measures for improving financial preparedness of small and medium agribusinesses, with specific focus on job creation for women, (ii) build capacities on green financing options for agribusinesses, and (iii) support a competitive grant scheme to small and medium agribusinesses to scale up low-carbon good manufacturing practices. Agricultural digital finance service aimed at women farmers and entrepreneurs will also be piloted. Output 2: Harmonized crop and livestock safety and quality systems adopted. Key activities on food safety and quality standards, certification and traceability include support for (i) harmonizing GMS policies and standards related to food safety and quality assurance, certification (e.g., organic, good agricultural practices, good manufacturing practices, geographic indications), accreditation, surveillance, and laboratories, (ii) establishing a platform to facilitate information exchange, coordination and food risk communication strategies, and (iii) conducting pilots on using digital technologies (e.g., artificial intelligence, Internet of Things, blockchain technologies) for food traceability and quality assurance to promote domestic and regional trade and ensure compliance with international food safety systems. Another sub-output on cross-border animal health and value chains improvement will support (i) safety policies and legislation on livestock, livestock products, and feed control, (ii) capacity strengthening for animal health workers to improve service delivery, control transboundary animal diseases and anti-microbial resistance, and (iii) piloting of advanced digital technologies for li",Review,0.473503768444061
Greater Mekong Subregion Sustainable Agriculture and Food Security Program,GREATER MEKONG SUBREGION SUSTAINABLE AGRICULTURE AND FOOD SECURITY PROGRAM,"The TA is aligned with the following impact: GMS as a leading supplier of safe and climate-friendly agri-food products realized. The TA will have the following outcome: investments and capacities for climate-friendly, safe and sustainable agri-food value chains increased.Output 1: Climate-friendly, inclusive and gender-conscious agri-food value chains and agribusinesses strengthened. This output will build capacities to implement climate-smart agriculture, pilot innovative technologies and mobilize financing for agribusinesses. Sub-output 1 on promoting green, inclusive and gender-conscious agri-food value chains will (i) identify policies and measures for promoting clean energy and reducing water consumption, food losses and waste in selected agri-food value chains while effectively integrating gender concerns, (ii) strengthen capacities of smallholders and agribusinesses along the value chain, including women farmers and entrepreneurs, on low carbon green supply chain management, agribusiness skills, value addition, and climate-smart agriculture technologies and practices through private-public partnerships, and (iii) conduct pilots on green supply chain management (e.g., nitrogen use efficiency and green water management) in selected agri-food value chains.Sub-output 2 on financing climate-smart agribusinesses will (i) propose measures for improving financial preparedness of small and medium agribusinesses, with specific focus on job creation for women, (ii) build capacities on green financing options for agribusinesses, and (iii) support a competitive grant scheme to small and medium agribusinesses to scale up low-carbon good manufacturing practices. Agricultural digital finance service aimed at women farmers and entrepreneurs will also be piloted. Output 2: Harmonized crop and livestock safety and quality systems adopted. Key activities on food safety and quality standards, certification and traceability include support for (i) harmonizing GMS policies and standards related to food safety and quality assurance, certification (e.g., organic, good agricultural practices, good manufacturing practices, geographic indications), accreditation, surveillance, and laboratories, (ii) establishing a platform to facilitate information exchange, coordination and food risk communication strategies, and (iii) conducting pilots on using digital technologies (e.g., artificial intelligence, Internet of Things, blockchain technologies) for food traceability and quality assurance to promote domestic and regional trade and ensure compliance with international food safety systems. Another sub-output on cross-border animal health and value chains improvement will support (i) safety policies and legislation on livestock, livestock products, and feed control, (ii) capacity strengthening for animal health workers to improve service delivery, control transboundary animal diseases and anti-microbial resistance, and (iii) piloting of advanced digital technologies for li",Review,0.473503768444061
Greater Mekong Subregion Sustainable Agriculture and Food Security Program,GREATER MEKONG SUBREGION SUSTAINABLE AGRICULTURE AND FOOD SECURITY PROGRAM,"The TA is aligned with the following impact: GMS as a leading supplier of safe and climate-friendly agri-food products realized. The TA will have the following outcome: investments and capacities for climate-friendly, safe and sustainable agri-food value chains increased.Output 1: Climate-friendly, inclusive and gender-conscious agri-food value chains and agribusinesses strengthened. This output will build capacities to implement climate-smart agriculture, pilot innovative technologies and mobilize financing for agribusinesses. Sub-output 1 on promoting green, inclusive and gender-conscious agri-food value chains will (i) identify policies and measures for promoting clean energy and reducing water consumption, food losses and waste in selected agri-food value chains while effectively integrating gender concerns, (ii) strengthen capacities of smallholders and agribusinesses along the value chain, including women farmers and entrepreneurs, on low carbon green supply chain management, agribusiness skills, value addition, and climate-smart agriculture technologies and practices through private-public partnerships, and (iii) conduct pilots on green supply chain management (e.g., nitrogen use efficiency and green water management) in selected agri-food value chains.Sub-output 2 on financing climate-smart agribusinesses will (i) propose measures for improving financial preparedness of small and medium agribusinesses, with specific focus on job creation for women, (ii) build capacities on green financing options for agribusinesses, and (iii) support a competitive grant scheme to small and medium agribusinesses to scale up low-carbon good manufacturing practices. Agricultural digital finance service aimed at women farmers and entrepreneurs will also be piloted. Output 2: Harmonized crop and livestock safety and quality systems adopted. Key activities on food safety and quality standards, certification and traceability include support for (i) harmonizing GMS policies and standards related to food safety and quality assurance, certification (e.g., organic, good agricultural practices, good manufacturing practices, geographic indications), accreditation, surveillance, and laboratories, (ii) establishing a platform to facilitate information exchange, coordination and food risk communication strategies, and (iii) conducting pilots on using digital technologies (e.g., artificial intelligence, Internet of Things, blockchain technologies) for food traceability and quality assurance to promote domestic and regional trade and ensure compliance with international food safety systems. Another sub-output on cross-border animal health and value chains improvement will support (i) safety policies and legislation on livestock, livestock products, and feed control, (ii) capacity strengthening for animal health workers to improve service delivery, control transboundary animal diseases and anti-microbial resistance, and (iii) piloting of advanced digital technologies for li",Review,0.473503768444061
Greater Mekong Subregion Sustainable Agriculture and Food Security Program,GREATER MEKONG SUBREGION SUSTAINABLE AGRICULTURE AND FOOD SECURITY PROGRAM,"The TA is aligned with the following impact: GMS as a leading supplier of safe and climate-friendly agri-food products realized. The TA will have the following outcome: investments and capacities for climate-friendly, safe and sustainable agri-food value chains increased.Output 1: Climate-friendly, inclusive and gender-conscious agri-food value chains and agribusinesses strengthened. This output will build capacities to implement climate-smart agriculture, pilot innovative technologies and mobilize financing for agribusinesses. Sub-output 1 on promoting green, inclusive and gender-conscious agri-food value chains will (i) identify policies and measures for promoting clean energy and reducing water consumption, food losses and waste in selected agri-food value chains while effectively integrating gender concerns, (ii) strengthen capacities of smallholders and agribusinesses along the value chain, including women farmers and entrepreneurs, on low carbon green supply chain management, agribusiness skills, value addition, and climate-smart agriculture technologies and practices through private-public partnerships, and (iii) conduct pilots on green supply chain management (e.g., nitrogen use efficiency and green water management) in selected agri-food value chains.Sub-output 2 on financing climate-smart agribusinesses will (i) propose measures for improving financial preparedness of small and medium agribusinesses, with specific focus on job creation for women, (ii) build capacities on green financing options for agribusinesses, and (iii) support a competitive grant scheme to small and medium agribusinesses to scale up low-carbon good manufacturing practices. Agricultural digital finance service aimed at women farmers and entrepreneurs will also be piloted. Output 2: Harmonized crop and livestock safety and quality systems adopted. Key activities on food safety and quality standards, certification and traceability include support for (i) harmonizing GMS policies and standards related to food safety and quality assurance, certification (e.g., organic, good agricultural practices, good manufacturing practices, geographic indications), accreditation, surveillance, and laboratories, (ii) establishing a platform to facilitate information exchange, coordination and food risk communication strategies, and (iii) conducting pilots on using digital technologies (e.g., artificial intelligence, Internet of Things, blockchain technologies) for food traceability and quality assurance to promote domestic and regional trade and ensure compliance with international food safety systems. Another sub-output on cross-border animal health and value chains improvement will support (i) safety policies and legislation on livestock, livestock products, and feed control, (ii) capacity strengthening for animal health workers to improve service delivery, control transboundary animal diseases and anti-microbial resistance, and (iii) piloting of advanced digital technologies for li",Review,0.473503768444061
Emergency contribution to the Jordan Humanitarian Fund (JHF) for 2021,EMERGENCY CONTRIBUTION TO THE JORDAN HUMANITARIAN FUND (JHF) FOR 2021,"The initiative contributes to the Jordan Humanitarian Fund (JHF), Jordan multi-donor country-based pooled fund (CBPF) established in 2014 in response to the increasing needs and operational complexity of the Syria crisis. The Fund focuses primarily on responding to urgent humanitarian needs through filling funding gaps and responding rapidly to new or unforeseen emergency needs, with exceptional funding for coordination, early action, preparedness and resilience activities.",Review,0.239713579416275
A Collaborative Multi-agency Platform for Building Resilient Communities,A COLLABORATIVE MULTI-AGENCY PLATFORM FOR BUILDING RESILIENT COMMUNITIES,"There is significant evidence of the growth of natural disasters on a global level. The Asia-Pacific region continues to be the world's most disaster prone region, it has many low-/middle-income countries and accounted for 47% of the world's 344 disasters in 2015 with 16,046 fatalities and reported economic damage in the region of US$ 5.1 Billion. In this context, the most disaster-prone sub-region is South Asia, recording 52 disasters and 14,647 deaths, representing 64% of the global fatalities, in 2015.   Scientific research has shown that disaster risks do not only exist because of the presence of a physical hazard, they are compounded by the presence of vulnerability. Therefore, there is an urgent need to shift our focus from pure emergency response and recovery towards a sustainable disaster mitigation framework that focuses on building resilience within a disaster prone area, involving government agencies and the local community to reduce the impact of a hazard. However, at present there is a lack of tools and methods available to agencies to enable them to come together to understand the underlying vulnerabilities of a disaster prone area and build resilience to reduce disaster impact on a community.   Digital technology has the potential for creating a collaboration environment for various agencies and communities to act collectively to reduce the impact of disasters. The goal of this project is to develop a Collaborative Multi-agency Platform that can be used for building resilient communities in disaster prone areas in low-/middle-income countries. The project will focus on the challenges faced by three countries: Malaysia, Pakistan and Sri Lanka. These countries are frequently affected by a multitude of natural hazards including floods, landslides, cyclones, droughts, and earthquakes and have therefore been chosen as the focus for this research to capture broader set of disaster conditions and requirements common to low-/middle-income countries.   The project aims to address the following research questions: What is the nature of a resilience framework that will allow low-/middle-income countries to assess their vulnerabilities and resilience capabilities and take measures to build resilient communities? How can we enhance multi-agency collaboration within low-/middle-income countries? What changes are required in terms of technology, organizational structures and collaboration processes to enhance multi-agency collaboration? What are the characteristics of a collaboration platform that can support collective vulnerability assessment and reduction by multi-agencies? How can we establish a system dynamic model that can support the simulation of cascading effect on critical infrastructure systems due to a hazard? How can we construct a collaborative 3D environment based on near real-time 3D satellite data and analysis for supporting early response and damage assessment after a major disaster? In addressing itself to these questions, the",Review,0.123390682041645
Disaster preparedness action through the implementation of an Emergency Medical Team (EMT),DISASTER PREPAREDNESS ACTION THROUGH THE IMPLEMENTATION OF AN EMERGENCY MEDICAL TEAM (EMT),"Project Title: Disaster preparedness action through the implementation of an Emergency Medical Team (EMT), Sector: Disaster Risk Reduction / Disaster Preparedness, Subsector: Capacity building (DRR / DP)  Community and local level action  Contingency plan",Review,0.120336346328259
Climate Resilient Maize With Index Insurance,CLIMATE RESILIENT MAIZE WITH INDEX INSURANCE,"The research team will distribute trial seed packets to 2000 treatment group farmers in Tanzania and Mozambique. Partnerships with at least one insurance company in each Tanzania and Mozambique will be finalized, and insurance contracts indexed to remote sensing data will be developed. The contracts will be optimized to complement the drought resilient varieties of maize being marketed in each location and refined based on farmer loss patterns. The research team will implement baseline surveys with a total of 3000 farm households in Tanzania and Mozambique. Local enumerator teams drawn from the staff of the respective national agricultural research services will be trained in the use of digital data collection.",Review,0.109658949077129
PrÃªt de contingence Covid et Adaptation au CC Maurice,PRÃT DE CONTINGENCE COVID ET ADAPTATION AU CC MAURICE,"PÃ´le GFIPrÃªt de politique publique pour la rÃ©ponse Ã  l'Ã©pidÃ©mie COVID-19, l'adaptation au changement climatique et la gestion du risque de catastrophe de la RÃ©publique de Maurice, co-instruit avec la Banque Mondiale. L'outil financier est un prÃªt de contingence Ã  droit de tirage diffÃ©rÃ©. -PRET CONTINGENCE REDUC CATASTROPHE NAT",Review,0.105585232377052
Financial Preparedness for Disaster and Climate Resilience (GFDRR),FINANCIAL PREPAREDNESS FOR DISASTER AND CLIMATE RESILIENCE (GFDRR),Financial Preparedness for Disaster and Climate Resilience (GFDRR),Review,0.061727236956358
"Food Security and Empowerment of Women in Cox's Bazar, Bangladesh/SÃ©curitÃ© alimentaire et renforcement du pouvoir des femmes Ã  Cox's Bazar, Bangladesh","FOOD SECURITY AND EMPOWERMENT OF WOMEN IN COX'S BAZAR, BANGLADESH/SÃCURITÃ ALIMENTAIRE ET RENFORCEMENT DU POUVOIR DES FEMMES Ã COX'S BAZAR, BANGLADESH","This project focuses on increasing the financial security and resilience of the host communities affected by the Rohingya refugee influx in Cox's Bazar in Bangladesh with a particular focus on ultra-poor women and children. This project has two components designed to address the immediate and underlying causes of the prevailing food insecurity and malnutrition in this region.Component one focuses on improving food security, women's empowerment and livelihoods, benefiting 12,500ultra-poor host community women and their families. Project activities include the provision of:  training in technical skills for income generation, a small cash subsistence allowance to improve food consumption and dietary diversity and to cover essential household consumption needs, a business start-up fund, life skills training, and social and behaviour change communication on topics such as child marriage, gender discrimination, gender-based violence, disaster risk reduction, nutrition, child and maternal care, and personal hygiene.Component two focuses on improving nutrition, benefiting 7,500 children under the age of five and 2,500 pregnant and lactating women. Project activities include the provision of:  supplementary food assistance, and social and behaviour change communication on topics such as feeding practices, child and maternal health and hygiene. / Ce projet vise Ã  accroÃ®tre la sÃ©curitÃ© financiÃ¨re et la rÃ©silience des communautÃ©s d'accueil touchÃ©es par l'afflux de rÃ©fugiÃ©s rohingyas Ã  Cox's Bazar, au Bangladesh, en accordant une attention particuliÃ¨re aux femmes et aux enfants trÃ¨s pauvres.   Ce projet comporte deux volets conÃ§us pour s'attaquer aux causes immÃ©diates et sous-jacentes de l'insÃ©curitÃ© alimentaire et de la malnutrition qui prÃ©valent dans cette rÃ©gion.Le premier volet est axÃ© sur l'amÃ©lioration de la sÃ©curitÃ© alimentaire, le renforcement du pouvoir des femmes et les moyens de subsistance, au bÃ©nÃ©fice de 12 500 femmes de communautÃ©s d'accueil trÃ¨s pauvres et de leurs familles. Les activitÃ©s du projet comprennent : une formation en compÃ©tences techniques en vue de gÃ©nÃ©rer des revenus, une petite allocation de subsistance en espÃ¨ces pour amÃ©liorer la consommation alimentaire et la diversitÃ© alimentaire ainsi que couvrir les besoins essentiels de consommation des mÃ©nages, un fonds de crÃ©ation d'entreprise, une formation aux compÃ©tences nÃ©cessaires dans la vie courante, et une communication sociale qui vise un changement de comportement sur des sujets tels que le mariage des enfants, la discrimination sexuelle, la violence sexiste, la rÃ©duction des risques de catastrophe, la nutrition, les soins aux enfants et Ã  la mÃ¨re, et l'hygiÃ¨ne personnelle.Le deuxiÃ¨me volet est axÃ© sur l'amÃ©lioration de la nutrition, au bÃ©nÃ©fice de 7 500 enfants de moins de cinq ans et de 2 500 femmes enceintes et allaitantes. Les activitÃ©s du projet comprennent la fourniture d'une aide alimentaire supplÃ©mentaire et une communication sociale qui vise un changement de comportem",Review,0.0565570406615734
"Food Security and Empowerment of Women in Cox's Bazar, Bangladesh/SÃ©curitÃ© alimentaire et renforcement du pouvoir des femmes Ã  Cox's Bazar, Bangladesh","FOOD SECURITY AND EMPOWERMENT OF WOMEN IN COX'S BAZAR, BANGLADESH/SÃCURITÃ ALIMENTAIRE ET RENFORCEMENT DU POUVOIR DES FEMMES Ã COX'S BAZAR, BANGLADESH","This project focuses on increasing the financial security and resilience of the host communities affected by the Rohingya refugee influx in Cox's Bazar in Bangladesh with a particular focus on ultra-poor women and children. This project has two components designed to address the immediate and underlying causes of the prevailing food insecurity and malnutrition in this region.Component one focuses on improving food security, women's empowerment and livelihoods, benefiting 12,500ultra-poor host community women and their families. Project activities include the provision of:  training in technical skills for income generation, a small cash subsistence allowance to improve food consumption and dietary diversity and to cover essential household consumption needs, a business start-up fund, life skills training, and social and behaviour change communication on topics such as child marriage, gender discrimination, gender-based violence, disaster risk reduction, nutrition, child and maternal care, and personal hygiene.Component two focuses on improving nutrition, benefiting 7,500 children under the age of five and 2,500 pregnant and lactating women. Project activities include the provision of:  supplementary food assistance, and social and behaviour change communication on topics such as feeding practices, child and maternal health and hygiene. / Ce projet vise Ã  accroÃ®tre la sÃ©curitÃ© financiÃ¨re et la rÃ©silience des communautÃ©s d'accueil touchÃ©es par l'afflux de rÃ©fugiÃ©s rohingyas Ã  Cox's Bazar, au Bangladesh, en accordant une attention particuliÃ¨re aux femmes et aux enfants trÃ¨s pauvres.   Ce projet comporte deux volets conÃ§us pour s'attaquer aux causes immÃ©diates et sous-jacentes de l'insÃ©curitÃ© alimentaire et de la malnutrition qui prÃ©valent dans cette rÃ©gion.Le premier volet est axÃ© sur l'amÃ©lioration de la sÃ©curitÃ© alimentaire, le renforcement du pouvoir des femmes et les moyens de subsistance, au bÃ©nÃ©fice de 12 500 femmes de communautÃ©s d'accueil trÃ¨s pauvres et de leurs familles. Les activitÃ©s du projet comprennent : une formation en compÃ©tences techniques en vue de gÃ©nÃ©rer des revenus, une petite allocation de subsistance en espÃ¨ces pour amÃ©liorer la consommation alimentaire et la diversitÃ© alimentaire ainsi que couvrir les besoins essentiels de consommation des mÃ©nages, un fonds de crÃ©ation d'entreprise, une formation aux compÃ©tences nÃ©cessaires dans la vie courante, et une communication sociale qui vise un changement de comportement sur des sujets tels que le mariage des enfants, la discrimination sexuelle, la violence sexiste, la rÃ©duction des risques de catastrophe, la nutrition, les soins aux enfants et Ã  la mÃ¨re, et l'hygiÃ¨ne personnelle.Le deuxiÃ¨me volet est axÃ© sur l'amÃ©lioration de la nutrition, au bÃ©nÃ©fice de 7 500 enfants de moins de cinq ans et de 2 500 femmes enceintes et allaitantes. Les activitÃ©s du projet comprennent la fourniture d'une aide alimentaire supplÃ©mentaire et une communication sociale qui vise un changement de comportem",Review,0.0565570406615734
"Food Security and Empowerment of Women in Cox's Bazar, Bangladesh/SÃ©curitÃ© alimentaire et renforcement du pouvoir des femmes Ã  Cox's Bazar, Bangladesh","FOOD SECURITY AND EMPOWERMENT OF WOMEN IN COX'S BAZAR, BANGLADESH/SÃCURITÃ ALIMENTAIRE ET RENFORCEMENT DU POUVOIR DES FEMMES Ã COX'S BAZAR, BANGLADESH","This project focuses on increasing the financial security and resilience of the host communities affected by the Rohingya refugee influx in Cox's Bazar in Bangladesh with a particular focus on ultra-poor women and children. This project has two components designed to address the immediate and underlying causes of the prevailing food insecurity and malnutrition in this region.Component one focuses on improving food security, women's empowerment and livelihoods, benefiting 12,500ultra-poor host community women and their families. Project activities include the provision of:  training in technical skills for income generation, a small cash subsistence allowance to improve food consumption and dietary diversity and to cover essential household consumption needs, a business start-up fund, life skills training, and social and behaviour change communication on topics such as child marriage, gender discrimination, gender-based violence, disaster risk reduction, nutrition, child and maternal care, and personal hygiene.Component two focuses on improving nutrition, benefiting 7,500 children under the age of five and 2,500 pregnant and lactating women. Project activities include the provision of:  supplementary food assistance, and social and behaviour change communication on topics such as feeding practices, child and maternal health and hygiene. / Ce projet vise Ã  accroÃ®tre la sÃ©curitÃ© financiÃ¨re et la rÃ©silience des communautÃ©s d'accueil touchÃ©es par l'afflux de rÃ©fugiÃ©s rohingyas Ã  Cox's Bazar, au Bangladesh, en accordant une attention particuliÃ¨re aux femmes et aux enfants trÃ¨s pauvres.   Ce projet comporte deux volets conÃ§us pour s'attaquer aux causes immÃ©diates et sous-jacentes de l'insÃ©curitÃ© alimentaire et de la malnutrition qui prÃ©valent dans cette rÃ©gion.Le premier volet est axÃ© sur l'amÃ©lioration de la sÃ©curitÃ© alimentaire, le renforcement du pouvoir des femmes et les moyens de subsistance, au bÃ©nÃ©fice de 12 500 femmes de communautÃ©s d'accueil trÃ¨s pauvres et de leurs familles. Les activitÃ©s du projet comprennent : une formation en compÃ©tences techniques en vue de gÃ©nÃ©rer des revenus, une petite allocation de subsistance en espÃ¨ces pour amÃ©liorer la consommation alimentaire et la diversitÃ© alimentaire ainsi que couvrir les besoins essentiels de consommation des mÃ©nages, un fonds de crÃ©ation d'entreprise, une formation aux compÃ©tences nÃ©cessaires dans la vie courante, et une communication sociale qui vise un changement de comportement sur des sujets tels que le mariage des enfants, la discrimination sexuelle, la violence sexiste, la rÃ©duction des risques de catastrophe, la nutrition, les soins aux enfants et Ã  la mÃ¨re, et l'hygiÃ¨ne personnelle.Le deuxiÃ¨me volet est axÃ© sur l'amÃ©lioration de la nutrition, au bÃ©nÃ©fice de 7 500 enfants de moins de cinq ans et de 2 500 femmes enceintes et allaitantes. Les activitÃ©s du projet comprennent la fourniture d'une aide alimentaire supplÃ©mentaire et une communication sociale qui vise un changement de comportem",Review,0.0565570406615734
"Food Security and Empowerment of Women in Cox's Bazar, Bangladesh/SÃ©curitÃ© alimentaire et renforcement du pouvoir des femmes Ã  Cox's Bazar, Bangladesh","FOOD SECURITY AND EMPOWERMENT OF WOMEN IN COX'S BAZAR, BANGLADESH/SÃCURITÃ ALIMENTAIRE ET RENFORCEMENT DU POUVOIR DES FEMMES Ã COX'S BAZAR, BANGLADESH","This project focuses on increasing the financial security and resilience of the host communities affected by the Rohingya refugee influx in Cox's Bazar in Bangladesh with a particular focus on ultra-poor women and children. This project has two components designed to address the immediate and underlying causes of the prevailing food insecurity and malnutrition in this region.Component one focuses on improving food security, women's empowerment and livelihoods, benefiting 12,500ultra-poor host community women and their families. Project activities include the provision of:  training in technical skills for income generation, a small cash subsistence allowance to improve food consumption and dietary diversity and to cover essential household consumption needs, a business start-up fund, life skills training, and social and behaviour change communication on topics such as child marriage, gender discrimination, gender-based violence, disaster risk reduction, nutrition, child and maternal care, and personal hygiene.Component two focuses on improving nutrition, benefiting 7,500 children under the age of five and 2,500 pregnant and lactating women. Project activities include the provision of:  supplementary food assistance, and social and behaviour change communication on topics such as feeding practices, child and maternal health and hygiene. / Ce projet vise Ã  accroÃ®tre la sÃ©curitÃ© financiÃ¨re et la rÃ©silience des communautÃ©s d'accueil touchÃ©es par l'afflux de rÃ©fugiÃ©s rohingyas Ã  Cox's Bazar, au Bangladesh, en accordant une attention particuliÃ¨re aux femmes et aux enfants trÃ¨s pauvres.   Ce projet comporte deux volets conÃ§us pour s'attaquer aux causes immÃ©diates et sous-jacentes de l'insÃ©curitÃ© alimentaire et de la malnutrition qui prÃ©valent dans cette rÃ©gion.Le premier volet est axÃ© sur l'amÃ©lioration de la sÃ©curitÃ© alimentaire, le renforcement du pouvoir des femmes et les moyens de subsistance, au bÃ©nÃ©fice de 12 500 femmes de communautÃ©s d'accueil trÃ¨s pauvres et de leurs familles. Les activitÃ©s du projet comprennent : une formation en compÃ©tences techniques en vue de gÃ©nÃ©rer des revenus, une petite allocation de subsistance en espÃ¨ces pour amÃ©liorer la consommation alimentaire et la diversitÃ© alimentaire ainsi que couvrir les besoins essentiels de consommation des mÃ©nages, un fonds de crÃ©ation d'entreprise, une formation aux compÃ©tences nÃ©cessaires dans la vie courante, et une communication sociale qui vise un changement de comportement sur des sujets tels que le mariage des enfants, la discrimination sexuelle, la violence sexiste, la rÃ©duction des risques de catastrophe, la nutrition, les soins aux enfants et Ã  la mÃ¨re, et l'hygiÃ¨ne personnelle.Le deuxiÃ¨me volet est axÃ© sur l'amÃ©lioration de la nutrition, au bÃ©nÃ©fice de 7 500 enfants de moins de cinq ans et de 2 500 femmes enceintes et allaitantes. Les activitÃ©s du projet comprennent la fourniture d'une aide alimentaire supplÃ©mentaire et une communication sociale qui vise un changement de comportem",Review,0.0565570406615734
"Food Security and Empowerment of Women in Cox's Bazar, Bangladesh/SÃ©curitÃ© alimentaire et renforcement du pouvoir des femmes Ã  Cox's Bazar, Bangladesh","FOOD SECURITY AND EMPOWERMENT OF WOMEN IN COX'S BAZAR, BANGLADESH/SÃCURITÃ ALIMENTAIRE ET RENFORCEMENT DU POUVOIR DES FEMMES Ã COX'S BAZAR, BANGLADESH","This project focuses on increasing the financial security and resilience of the host communities affected by the Rohingya refugee influx in Cox's Bazar in Bangladesh with a particular focus on ultra-poor women and children. This project has two components designed to address the immediate and underlying causes of the prevailing food insecurity and malnutrition in this region.Component one focuses on improving food security, women's empowerment and livelihoods, benefiting 12,500ultra-poor host community women and their families. Project activities include the provision of:  training in technical skills for income generation, a small cash subsistence allowance to improve food consumption and dietary diversity and to cover essential household consumption needs, a business start-up fund, life skills training, and social and behaviour change communication on topics such as child marriage, gender discrimination, gender-based violence, disaster risk reduction, nutrition, child and maternal care, and personal hygiene.Component two focuses on improving nutrition, benefiting 7,500 children under the age of five and 2,500 pregnant and lactating women. Project activities include the provision of:  supplementary food assistance, and social and behaviour change communication on topics such as feeding practices, child and maternal health and hygiene. / Ce projet vise Ã  accroÃ®tre la sÃ©curitÃ© financiÃ¨re et la rÃ©silience des communautÃ©s d'accueil touchÃ©es par l'afflux de rÃ©fugiÃ©s rohingyas Ã  Cox's Bazar, au Bangladesh, en accordant une attention particuliÃ¨re aux femmes et aux enfants trÃ¨s pauvres.   Ce projet comporte deux volets conÃ§us pour s'attaquer aux causes immÃ©diates et sous-jacentes de l'insÃ©curitÃ© alimentaire et de la malnutrition qui prÃ©valent dans cette rÃ©gion.Le premier volet est axÃ© sur l'amÃ©lioration de la sÃ©curitÃ© alimentaire, le renforcement du pouvoir des femmes et les moyens de subsistance, au bÃ©nÃ©fice de 12 500 femmes de communautÃ©s d'accueil trÃ¨s pauvres et de leurs familles. Les activitÃ©s du projet comprennent : une formation en compÃ©tences techniques en vue de gÃ©nÃ©rer des revenus, une petite allocation de subsistance en espÃ¨ces pour amÃ©liorer la consommation alimentaire et la diversitÃ© alimentaire ainsi que couvrir les besoins essentiels de consommation des mÃ©nages, un fonds de crÃ©ation d'entreprise, une formation aux compÃ©tences nÃ©cessaires dans la vie courante, et une communication sociale qui vise un changement de comportement sur des sujets tels que le mariage des enfants, la discrimination sexuelle, la violence sexiste, la rÃ©duction des risques de catastrophe, la nutrition, les soins aux enfants et Ã  la mÃ¨re, et l'hygiÃ¨ne personnelle.Le deuxiÃ¨me volet est axÃ© sur l'amÃ©lioration de la nutrition, au bÃ©nÃ©fice de 7 500 enfants de moins de cinq ans et de 2 500 femmes enceintes et allaitantes. Les activitÃ©s du projet comprennent la fourniture d'une aide alimentaire supplÃ©mentaire et une communication sociale qui vise un changement de comportem",Review,0.0565570406615734
FAO HUM 2021-2025 - Repayments FAO HUM 2021-2025,FAO HUM 2021-2025 - REPAYMENTS FAO HUM 2021-2025,"Sida's humanitarian support to FAO enables the organisation to respond to emergencies by protecting and restoring livelihoods with a particular focus on agriculture and livestock while addressing acute food insecurity for the most vulnerable affected by conflict and climate shocks.  Through this support, FAO will focus on the phases 3-5 in the Integrated Food Security Phase Classification (IPC) i.e. (3) Crisis, (4) Emergency and (5) Catastrophe/Famine. FAO s new strategic framework 2022-2030 places the Sustainable Development Goals (SDGs) at the centre of its operations. In terms of programme priority areas related to humanitarian interventions, FAO will focus on agriculture and food emergencies in countries facing, or at risk of acute food insecurity, by providing urgent livelihood and nutrition assistance. The strategic framework states that by 2023 FAO aims to assist 60 million people annually with emergency and resilience interventions, and through investments in anticipatory action that will reduce humanitarian needs in the future. This is an ambitious increase from the 35 million target in 2019. The focus on both acute food security and livelihoods with positive spill-over effects on household and community resilience in combination with FAO's leading technical expertise in agriculture and its focus on Anticipatory Action, makes FAO a valuable strategic humanitarian partner to Sida.Sida will in 2022 allocate 124 million SEK to FAO's emergency interventions in six countries: Afghanistan, Mali, Niger, Nigeria, Madagascar and Somalia. This support also includes unallocated funds to emerging and deteriorating humanitarian situations through the Special Fund for Emergency and Rehabilitation Activities (SFERA) as well as a method development support to strengthening countries' capacities for risk-informed localized humanitarian responses.",Review,0.0466605946421623
